Produk,Nama,Waktu,Review,Rating
Lenovo ThinkBook 14 G3 ACL Ryzen 3 5300U 4GB 512GB SSD W11+OHS,Aji,2 minggu lalu,performa mantap sesuai spesifikasi,bintang 5
Lenovo Digital Pen,Ratnasari,2 minggu lalu,works properly,bintang 5
Lenovo IdeaPad Slim 3i 14IAU7 Core i3-1215U 8GB 512GB W11 OHS,R***l,2 minggu lalu,Semoga awet,bintang 5
Lenovo IdeaCentre Mini 01IRH8 Core i7-13700H 8GB 512GB TANPA MONITOR,P***a,2 minggu lalu,Kualitas OK dan Full Power. Semoga Awet ya,bintang 5
Lenovo IdeaPad Slim1 14IGL7 Celeron N4020 8GB 256 SSD W11 OHS,Anggi,2 minggu lalu,mantap barangnya sesuai .,bintang 5
"Lenovo Monitor Legion R25i-30 24.5"" IPS 165Hz",H***o,2 minggu lalu,sejauh ini aman  gaditemuin dead pixel... menunggu GTID review aja,bintang 5
Lenovo LOQ 15APH8 Ryzen 5 7640HS 8GB 512GB RTX 4050 6GB W11+OHS,Ahmad,2 minggu lalu,"Mantab, tinggal update2 aja",bintang 5
Lenovo ThinkBook 14 G6 IRL Core i5-1335U 8GB 512GB W11 OHS,A***I,2 minggu lalu,Baterenya tahan lama Desainnya simpel Performanya mantap Layar tipis Warnanya kece Tampilannya keren 👍 Proses pesanan cepat Memory-nya besar Penjualnya ramah banget Pack... ,bintang 5
Lenovo ThinkPad E14 Gen 5 (Intel) Core i3-1315U 8GB 512GB W11Pro,ACI,2 minggu lalu,Baterenya tahan lama Desainnya simpel Layar tipis Performanya mantap Tampilannya keren 👍 Memory-nya besar Warnanya kece Packaging aman 🙏 Proses pesanan cepat Penjualnya... ,bintang 5
Lenovo IdeaPad Slim 3i 14IAU7 Core i3-1215U 8GB 512GB W11 OHS,Lulu,3 minggu lalu,"adminnya responsif, barang sampai dengan aman",bintang 5
Lenovo LOQ 15IRH8 Core i5-13420H 8GB 512GB RTX4050 6GB W11+OHS,Harsfaujan,3 minggu lalu,barang sampai dengan selamat dan berfungsi baik kelengkapan tas dan mouse juga dapet,bintang 5
"Lenovo Monitor Legion R27q-30 27"" IPS 165Hz",Eka,3 minggu lalu,"Setelah order ditelpon pihak seller untuk konfirmasi cek barang, pengiriman sudah include packing kayu (entah kalo lain waktu kebijakan mereka berubah). Alhamdulillah ama... ",bintang 5
Lenovo Yoga Slim 7 Pro 14ARH7 Ryzen9 6900HS CreatorEdition 16GB 1TB,Abdullah,3 minggu lalu,"Mantap
Menyala abangkuh 🔥🔥",bintang 5
Lenovo Legion Go 8APU1 Ryze Z1 Extreme 16GB 512GB W11 Touch,A***i,3 minggu lalu,"keren, pengiriman cepat, admin inisiatif kasih tau barangnya walaupun PO, de best lah",bintang 5
Lenovo Legion Go 8APU1 Ryze Z1 Extreme 16GB 512GB W11 Touch,nabila,3 minggu lalu,👍👍👍👍👍,bintang 5
Lenovo LOQ 15IRX9 Core i5-13450HX 8GB 512GB RTX 4050 6GB W11 OHS,I***a,3 minggu lalu,"Admin responsif dan informatif, barang sampai dengan selamat ditujuan, packing oke tidak ada yg penyok2, dapet bonus tas dan payung. Laptop oke banget buat yg kerjaannya... ",bintang 5
Lenovo LOQ 15IRX9 Core i7 13650HX 8GB 512GB RTX 4050 6GB W11 OHS,Alif,3 minggu lalu,Mantapp,bintang 5
Lenovo Yoga 7 14IRL8 Core i7-1360P 16GB 1TB W11+OHS,Mila,3 minggu lalu,"Produk bagus, keren banget, pengiriman cepat. Terima kasih dan sukses terus ya.",bintang 5
Lenovo IdeaPad Flex 5 14IRU8 Core i5-1335U 16GB 512GB W11+OHS,Bayu,3 minggu lalu,"Mantap , produk original, semua aman gak ada kendala, maaf ga ada foto soalnya dikirim untuk adik di kampung,, pelayanan sangat memuaskan,🙏",bintang 5
Lenovo IdeaPad Slim 5 14ABR8 Ryzen 5 7530U 16GB 512GB W11+OHS,Nina,3 minggu lalu,"CS nya cepat responnya. Pengiriman aman sekali. Dan kurirnya juga amanah, inisiatif nanya mah diskmoen depan rumaha atau di satpam. 

Laptopnya keren euuuy. Super worthed... ",bintang 5
Lenovo IdeaPad Pro 5 14IRH8 Core i7-13700H 16GB 1TB RTX 3050 6GB,Alfa,3 minggu lalu,thx unt cashback 1 mio,bintang 5
